date,location,meal,place,item,portion_size,nutrition_info
11/14/2024,The Atrium,Lunch,SALAD BAR,COTTAGE CHEESE,2 OZ,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=150062*2
11/14/2024,The Atrium,Lunch,SALAD BAR,CRAISINS,1 OZ,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=150277*1
11/14/2024,The Atrium,Lunch,SALAD BAR,GRANOLA OATS & HONEY,2 OZ,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=150274*2
11/14/2024,The Atrium,Lunch,SALAD BAR,PLAIN GREEK CHOBANI YOGURT,2 OZ,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=174004*2
11/14/2024,The Atrium,Lunch,SALAD BAR,PUMPKIN SEEDS,1 OZ,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=150901*1
11/14/2024,The Atrium,Lunch,SALAD BAR,RAISINS,1 OZ,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=150276*1
11/14/2024,The Atrium,Lunch,SALAD BAR,STRAWBERRY YOGURT,2 OZ,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=174003*2
11/14/2024,The Atrium,Lunch,SALAD BAR,SUNFLOWER SEEDS,1 OZ,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=150902*1
11/14/2024,The Atrium,Lunch,SALAD BAR,VANILLA YOGURT,2 OZ,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=174002*2
11/14/2024,The Atrium,Lunch,SOUPS,ARTICHOKE HEARTS,2 OZ,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=140202*2
11/14/2024,The Atrium,Lunch,SOUPS,BABY SPINACH,4 OZ,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=130019*4
11/14/2024,The Atrium,Lunch,SOUPS,BROCCOLI BUDS OP,3 OZ,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=130120*3
11/14/2024,The Atrium,Lunch,SOUPS,BROCCOLI FLORETS,4 OZ,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=130034*4
11/14/2024,The Atrium,Lunch,SOUPS,CAESAR DRESSING,1 OZ,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=150145*1
11/14/2024,The Atrium,Lunch,SOUPS,CANNED BABY CORN,1 OZ,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=130130*1
11/14/2024,The Atrium,Lunch,SOUPS,CAULIFLOWER FLORETS,4 OZ,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=130222*4
11/14/2024,The Atrium,Lunch,SOUPS,CHERRY TOMATOES,4 EACH,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=129500*4
11/14/2024,The Atrium,Lunch,SOUPS,CHICK PEAS,1/2 OZ,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=130462*1%2f2
11/14/2024,The Atrium,Lunch,SOUPS,CHOPPED ROMAINE LETTUCE,2 OZ,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=135046*2
11/14/2024,The Atrium,Lunch,SOUPS,CHOPPED SWEET RED PEPPERS,1 OZ,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=130237*1
11/14/2024,The Atrium,Lunch,SOUPS,CORN KERNELS,2 OZ,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=129502*2
11/14/2024,The Atrium,Lunch,SOUPS,CROUTONS,2 TB,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=150828*2
11/14/2024,The Atrium,Lunch,SOUPS,CRUMBLED FETA CHEESE,1 OZ,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=300837*1
11/14/2024,The Atrium,Lunch,SOUPS,CUCUMBERS,1 OZ,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=130080*1
11/14/2024,The Atrium,Lunch,SOUPS,DICED TOFU,3 OZ,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=143152*3
11/14/2024,The Atrium,Lunch,SOUPS,GHERKIN PICKLES,1 EACH,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=150099*1
11/14/2024,The Atrium,Lunch,SOUPS,HARDBOILED EGGS,1 EACH,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=500250*1
11/14/2024,The Atrium,Lunch,SOUPS,ICEBERG LETTUCE,4 OZ,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=130084*4
11/14/2024,The Atrium,Lunch,SOUPS,KALAMATA OLIVES,1 OZ,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=150266*1
11/14/2024,The Atrium,Lunch,SOUPS,KALAMATA OLIVES,2 OZ,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=140191*2
11/14/2024,The Atrium,Lunch,SOUPS,KIDNEY BEANS,1 OZ,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=130205*1
11/14/2024,The Atrium,Lunch,SOUPS,MARINATED ARTICHOKE HEARTS,2 OZ,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=165063*2
11/14/2024,The Atrium,Lunch,SOUPS,PEPPERONCINI PEPPERS,2 EACH,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=150192*2
11/14/2024,The Atrium,Lunch,SOUPS,RED ONION,2 OZ,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=130154*2
